DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
02-Jan-18,SLAM,Sanlam Kenya Plc,12.8,20,27.75,30,29.5,27.75,1.75,6.31%,"2,300",-
02-Jan-18,CTUM,Centum Investment Company Plc,19.6,33.5,43.5,44,43.7,43.9,-0.2,0.46%,"12,300",-
02-Jan-18,HAFR,Home Afrika Ltd,0.3,0.69,1.4,1.5,1.4,1.35,0.05,3.70%,"332,000",-
02-Jan-18,KURV,Kurwitu Ventures Ltd,"1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00",-,-,-,-
02-Jan-18,OCH,Olympia Capital Holdings Ltd,1.9,2.9,3.15,3.55,3.25,3.5,-0.25,7.14%,"37,300",-
02-Jan-18,TCL,Trans-Century Plc,1.42,4.03,6.6,6.6,6.6,6,0.6,10.00%,300,-
02-Jan-18,NSE,Nairobi Securities Exchange Plc,7,13,20,21,20.35,19.7,0.65,3.30%,"12,200",-
02-Jan-18,BOC,BOC Kenya Plc,53,72,107,107,107,107,-,-,-,-
02-Jan-18,BAT,British American Tobacco Kenya Plc,305,545,760,760,760,760,-,-,-,-
02-Jan-18,CARB,Carbacid Investments Plc,7.1,9.4,12.05,12.25,12.15,12.1,0.05,0.41%,"36,100",-
02-Jan-18,EABL,East African Breweries Ltd,135,222.25,238,240,238,238,-,-,"74,400",-
02-Jan-18,FTGH,Flame Tree Group Holdings Ltd,0.76,3,4.5,4.55,4.5,4.55,-0.05,1.10%,"4,600",-
02-Jan-18,ORCH,Kenya Orchards Ltd,12.25,12.6,97,97,97,97,-,-,-,-
02-Jan-18,MSC,Mumias Sugar Company Ltd,0.27,0.39,1.1,1.15,1.1,1.1,-,-,"130,200",-
02-Jan-18,UNGA,Unga Group Ltd,26.1,37,29,29,29,29,-,-,-,-
02-Jan-18,SCOM,Safaricom Plc,23.5,33.5,26.75,27,26.75,26.75,-,-,"3,904,800",-
02-Jan-18,FAHR,Stanlib Fahari Income-REIT,5.5,10,10.4,10.5,10.4,10.7,-0.3,2.80%,"6,400",-
02-Jan-18,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,265.00","1,265.00","1,265.00","1,265.00",-,-,-,-
02-Jan-18,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,209.04,210.49,209.22,209.04,0.18,0.09%,-,-
03-Jan-18,EGAD,Eaagads Ltd,8.2,14,25,25,25,25,-,-,-,-
03-Jan-18,KUKZ,Kakuzi Plc,300,423.5,329,329,329,329,-,-,-,-
03-Jan-18,KAPC,Kapchorua Tea Kenya Plc,59,95,67.5,67.5,67.5,67.5,-,-,-,-
03-Jan-18,LIMT,Limuru Tea Plc,385,475,500,500,500,500,-,-,100,-
03-Jan-18,SASN,Sasini Plc,14.8,19,25,26.75,25,27,-2,7.41%,"1,300",-
03-Jan-18,WTK,Williamson Tea Kenya Plc,92,165,158,158,158,158,-,-,-,-
03-Jan-18,CGEN,Car and General (K) Ltd,20,26,21,21,21,21,-,-,-,-
03-Jan-18,ABSA,ABSA Bank Kenya Plc,8.96,14.2,9.55,9.6,9.55,9.6,-0.05,0.52%,"376,400",-
03-Jan-18,COOP,Co-operative Bank of Kenya Ltd,10.5,17,16,16.5,16.15,15.95,0.2,1.25%,"142,200",-
03-Jan-18,DTK,Diamond Trust Bank Kenya Ltd,67.75,127,192,192,192,192,-,-,"4,900",-
03-Jan-18,EQTY,Equity Group Holdings Plc,30.5,55.5,40,40.5,40,39.75,0.25,0.63%,"1,654,600",-
03-Jan-18,HFCK,HF Group Ltd,3.49,7.9,10.25,10.5,10.3,10.35,-0.05,0.48%,"16,400",9.36
03-Jan-18,IMH,I & M Holdings Plc,43.1,59,120,120,120,120,-,-,-,60
03-Jan-18,KCB,KCB Group Plc,33.75,55.5,42.25,42.75,42.25,42.75,-0.5,1.17%,"1,490,500",-
03-Jan-18,NBK,National Bank of Kenya Ltd,3.4,4.33,9.9,10,9.95,9.7,0.25,2.58%,"17,100",-
03-Jan-18,NCBA,NCBA Group Plc,24.9,40,34,35.25,34,34,-,-,"49,700",30.91
03-Jan-18,SBIC,Stanbic Holdings Plc,76.5,118.5,80,80,80,80,-,-,100,-
03-Jan-18,SCBK,Standard Chartered Bank Kenya Ltd,155,220,208,210,209.5,210,-0.5,0.24%,"3,000",-
03-Jan-18,DCON,Deacons (East Africa) Plc,0.45,0.45,3.45,3.45,3.45,3.5,-0.05,1.43%,200,-
03-Jan-18,EVRD,Eveready East Africa Ltd,0.75,1.28,2.4,2.5,2.4,2.4,-,-,"42,900",-
03-Jan-18,XPRS,Express Kenya Plc,3.8,7.34,3.75,3.75,3.75,3.75,-,-,-,-
03-Jan-18,KQ,Kenya Airways Plc,0.8,5,16.5,18,16.7,17,-0.3,1.76%,"25,200",-
03-Jan-18,LKL,Longhorn Publishers Plc,4.26,8.2,5.4,5.7,5.45,5.4,0.05,0.93%,"2,300",-
03-Jan-18,NBV,Nairobi Business Ventures Ltd,0.49,0.99,3.15,3.4,3.2,3.2,-,-,"9,600",-
03-Jan-18,NMG,Nation Media Group Plc,12,48.5,116,116,116,115,1,0.87%,"7,700",-
03-Jan-18,SMER,Sameer Africa Plc,1.91,4.69,2.75,2.75,2.75,2.75,-,-,200,-
03-Jan-18,SGL,Standard Group Plc,18,31,37,37,37,37,-,-,-,-
03-Jan-18,TPSE,TPS Eastern Africa (Serena) Ltd,11.5,21.15,32.5,33,32.75,32.5,0.25,0.77%,"1,000",-
03-Jan-18,UCHM,Uchumi Supermarket Plc,0.23,0.4,4.5,4.8,4.5,4.6,-0.1,2.17%,"93,500",-
03-Jan-18,SCAN,WPP ScanGroup Plc,11,25,18.6,18.6,18.6,19,-0.4,2.11%,"1,200",-
03-Jan-18,ARM,ARM Cement Plc,5.55,5.55,12.15,13,12.2,13.45,-1.25,9.29%,"105,400",-
03-Jan-18,BAMB,Bamburi Cement Ltd,26,120,183,183,183,180,3,1.67%,100,-
03-Jan-18,CRWN,Crown Paints Kenya Plc,45,85,80,80,80,80,-,-,"1,000",-
03-Jan-18,CABL,East African Cables Ltd,1.44,3.98,5.75,5.85,5.75,5.7,0.05,0.88%,"1,700",-
03-Jan-18,PORT,East African Portland Cement Ltd,12.6,18.5,29,29,29,27,2,7.41%,"1,000",-
03-Jan-18,KENO,KenolKobil Ltd,12.8,23,14.25,14.5,14.25,14.25,-,-,"1,280,300",-
03-Jan-18,KEGN,Kenya Electricity Generating Company Plc,4,6.5,8.4,8.6,8.45,8.6,-0.15,1.74%,"85,200",-
03-Jan-18,KPLC-P4,KPLC-P4,5,5,5,5,5,5,-,-,-,-
03-Jan-18,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
03-Jan-18,KPLC,Kenya Power and Lighting Company Plc,1.63,4.1,9,9.2,9.05,9.05,-,-,"226,000",-
03-Jan-18,TOTL,Total Kenya Ltd,22,30,23.5,24,23.5,23.75,-0.25,1.05%,"7,400",-
03-Jan-18,UMME,Umeme Ltd,5.68,8.6,13.4,13.4,13.4,13.55,-0.15,1.11%,700,-
03-Jan-18,BRIT,Britam Holdings Plc,5.7,10.65,13.5,14,13.85,13.5,0.35,2.59%,"167,200",-
03-Jan-18,CIC,CIC Insurance Group Ltd,2,3.65,5.6,5.8,5.6,5.65,-0.05,0.88%,"322,200",-
03-Jan-18,JUB,Jubilee Holdings Ltd,225,380,475,475,475,497,-22,4.43%,100,-
03-Jan-18,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,19,19.5,19,18.95,0.05,0.26%,"3,100",4.75
03-Jan-18,LBTY,Liberty Kenya Holdings Ltd,6.8,11,12.75,13.3,12.8,12.2,0.6,4.92%,600,-
03-Jan-18,SLAM,Sanlam Kenya Plc,12.8,19.55,27,30,29.75,29.5,0.25,0.85%,"102,700",-
03-Jan-18,CTUM,Centum Investment Company Plc,19.6,33.5,43.75,44,43.75,43.7,0.05,0.11%,"12,400",-
03-Jan-18,HAFR,Home Afrika Ltd,0.3,0.69,1.4,1.5,1.45,1.4,0.05,3.57%,"535,200",-
03-Jan-18,KURV,Kurwitu Ventures Ltd,"1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00",-,-,-,-
03-Jan-18,OCH,Olympia Capital Holdings Ltd,1.9,2.9,3,3.15,3,3.25,-0.25,7.69%,"11,300",-
03-Jan-18,TCL,Trans-Century Plc,1.42,4,6.05,6.6,6.1,6.6,-0.5,7.58%,"8,100",-
03-Jan-18,NSE,Nairobi Securities Exchange Plc,6.5,13,19.7,21,20,20.35,-0.35,1.72%,"30,000",-
03-Jan-18,BOC,BOC Kenya Plc,53,72,107,107,107,107,-,-,-,-
03-Jan-18,BAT,British American Tobacco Kenya Plc,305,545,760,760,760,760,-,-,300,-
03-Jan-18,CARB,Carbacid Investments Plc,7.1,9.4,12.45,12.95,12.5,12.15,0.35,2.88%,"21,600",-
03-Jan-18,EABL,East African Breweries Ltd,135,222.25,234,240,239,238,1,0.42%,"58,700",-
03-Jan-18,FTGH,Flame Tree Group Holdings Ltd,0.76,3,4.4,4.55,4.4,4.5,-0.1,2.22%,"11,400",-
03-Jan-18,ORCH,Kenya Orchards Ltd,12.25,12.6,97,97,97,97,-,-,-,-
03-Jan-18,MSC,Mumias Sugar Company Ltd,0.27,0.39,1.1,1.15,1.1,1.1,-,-,"270,000",-
03-Jan-18,UNGA,Unga Group Ltd,26.1,36.5,29,29,29,29,-,-,200,-
03-Jan-18,SCOM,Safaricom Plc,23.5,33.5,26.75,27,26.75,26.75,-,-,"8,347,900",-
03-Jan-18,FAHR,Stanlib Fahari Income-REIT,5.5,10,10.5,10.7,10.5,10.4,0.1,0.96%,"5,000",-
03-Jan-18,GLD,ABSA NewGold ETF,"1,235.00","1,860.00","1,265.00","1,265.00","1,265.00","1,265.00",-,-,-,-
03-Jan-18,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,208.42,210.26,209.35,209.22,0.13,0.06%,-,-
03-Jan-18,^N20I,NSE 20-Share Index,"1,873.47","2,766.77","3,676.48","3,676.48","3,676.48","3,711.94",-35.46,0.96%,-,-
03-Jan-18,^N25I,NSE 25-Share Index,"2,943.60","4,207.90","4,283.67","4,283.67","4,283.67","4,283.38",0.29,0.01%,-,-
03-Jan-18,^NASI,NSE All-Share Index,124.3,171.36,170.98,170.98,170.98,171.2,-0.22,0.13%,-,-
04-Jan-18,EGAD,Eaagads Ltd,8.2,14,25,25.25,25,25,-,-,"15,000",-
04-Jan-18,KUKZ,Kakuzi Plc,300,423.5,329,329,329,329,-,-,-,-
04-Jan-18,KAPC,Kapchorua Tea Kenya Plc,59,95,66,66,66,67.5,-1.5,2.22%,300,-
04-Jan-18,LIMT,Limuru Tea Plc,385,475,500,500,500,500,-,-,-,-
04-Jan-18,SASN,Sasini Plc,14.8,19,25.75,27,26.75,25,1.75,7.00%,"10,500",-
04-Jan-18,WTK,Williamson Tea Kenya Plc,92,165,158,158,158,158,-,-,-,-
04-Jan-18,CGEN,Car and General (K) Ltd,20,26,21,21,21,21,-,-,-,-
04-Jan-18,ABSA,ABSA Bank Kenya Plc,9,14.2,9.5,9.8,9.55,9.55,-,-,"1,361,000",-
04-Jan-18,COOP,Co-operative Bank of Kenya Ltd,10.5,17,16.1,16.9,16.3,16.15,0.15,0.93%,"1,487,000",-
04-Jan-18,DTK,Diamond Trust Bank Kenya Ltd,67.75,127,195,195,195,192,3,1.56%,"8,500",-
04-Jan-18,EQTY,Equity Group Holdings Plc,30.5,55.5,39.75,40.5,40,40,-,-,"1,709,300",-
04-Jan-18,HFCK,HF Group Ltd,3.49,7.9,10.05,10.85,10.15,10.3,-0.15,1.46%,"26,700",9.23
04-Jan-18,IMH,I & M Holdings Plc,43.1,59,120,120,120,120,-,-,"5,400",60
04-Jan-18,KCB,KCB Group Plc,33.75,55.5,42.5,43,42.5,42.25,0.25,0.59%,"41,800",-
04-Jan-18,NBK,National Bank of Kenya Ltd,3.4,4.33,9.9,10,9.9,9.95,-0.05,0.50%,"2,200",-
04-Jan-18,NCBA,NCBA Group Plc,24.9,40,35.5,36.75,36.25,34,2.25,6.62%,"39,800",32.95
04-Jan-18,SBIC,Stanbic Holdings Plc,76.5,118.5,80,80,80,80,-,-,700,-
04-Jan-18,SCBK,Standard Chartered Bank Kenya Ltd,160,220,208,210,209.75,209.5,0.25,0.12%,"2,100",-
04-Jan-18,DCON,Deacons (East Africa) Plc,0.45,0.45,3.2,3.45,3.2,3.45,-0.25,7.25%,"59,400",-
04-Jan-18,EVRD,Eveready East Africa Ltd,0.75,1.28,2.4,2.6,2.4,2.4,-,-,"3,300",-
04-Jan-18,XPRS,Express Kenya Plc,4,7.34,3.75,3.75,3.75,3.75,-,-,-,-
04-Jan-18,KQ,Kenya Airways Plc,0.8,5,16,17,16.25,16.7,-0.45,2.69%,"44,700",-
04-Jan-18,LKL,Longhorn Publishers Plc,4.26,8.2,5.4,5.9,5.7,5.45,0.25,4.59%,"70,600",-
04-Jan-18,NBV,Nairobi Business Ventures Ltd,0.49,0.99,3.15,3.3,3.2,3.2,-,-,"8,400",-
04-Jan-18,NMG,Nation Media Group Plc,12.5,49,116,117,116,116,-,-,"4,800",-
04-Jan-18,SMER,Sameer Africa Plc,1.91,4.69,2.5,2.75,2.65,2.75,-0.1,3.64%,"1,300",-
04-Jan-18,SGL,Standard Group Plc,18,31,33.5,33.5,33.5,37,-3.5,9.46%,200,-
04-Jan-18,TPSE,TPS Eastern Africa (Serena) Ltd,11.5,21.15,32,32,32,32.75,-0.75,2.29%,600,-
04-Jan-18,UCHM,Uchumi Supermarket Plc,0.23,0.4,4.4,4.6,4.45,4.5,-0.05,1.11%,"49,800",-
04-Jan-18,SCAN,WPP ScanGroup Plc,11,25,18.5,18.6,18.55,18.6,-0.05,0.27%,"6,800",-
04-Jan-18,ARM,ARM Cement Plc,5.55,5.55,13.25,13.4,13.25,12.2,1.05,8.61%,"34,600",-
04-Jan-18,BAMB,Bamburi Cement Ltd,26,120,178,183,178,183,-5,2.73%,"247,600",-
04-Jan-18,CRWN,Crown Paints Kenya Plc,45,85,80,80,80,80,-,-,-,-
04-Jan-18,CABL,East African Cables Ltd,1.44,3.98,5.7,5.85,5.7,5.75,-0.05,0.87%,"13,500",-
04-Jan-18,PORT,East African Portland Cement Ltd,12.6,18.5,29,29,29,29,-,-,500,-
04-Jan-18,KENO,KenolKobil Ltd,12.8,23,14.35,14.5,14.45,14.25,0.2,1.40%,"3,044,600",-
04-Jan-18,KEGN,Kenya Electricity Generating Company Plc,4,6.5,8,8.5,8.2,8.45,-0.25,2.96%,"107,600",-
04-Jan-18,KPLC-P4,KPLC-P4,5,5,5,5,5,5,-,-,-,-
04-Jan-18,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
04-Jan-18,KPLC,Kenya Power and Lighting Company Plc,1.63,4.1,9,9.1,9,9.05,-0.05,0.55%,"141,500",-
04-Jan-18,TOTL,Total Kenya Ltd,22,30,24,24,24,23.5,0.5,2.13%,"7,000",-
04-Jan-18,UMME,Umeme Ltd,5.68,8.6,13.4,13.4,13.4,13.4,-,-,100,-
04-Jan-18,BRIT,Britam Holdings Plc,5.7,10.65,13.5,14,13.75,13.85,-0.1,0.72%,"79,000",-
04-Jan-18,CIC,CIC Insurance Group Ltd,2,3.65,5.6,6,5.65,5.6,0.05,0.89%,"120,100",-
04-Jan-18,JUB,Jubilee Holdings Ltd,225,380,500,500,500,475,25,5.26%,"3,300",-
04-Jan-18,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,18.95,19.5,19.4,19,0.4,2.11%,"1,341,400",4.85
04-Jan-18,LBTY,Liberty Kenya Holdings Ltd,6.8,11,13,13.25,13.1,12.8,0.3,2.34%,"6,600",-
04-Jan-18,SLAM,Sanlam Kenya Plc,12.8,20,29.75,29.75,29.75,29.75,-,-,-,-
04-Jan-18,CTUM,Centum Investment Company Plc,19.6,33.5,43.75,44.5,44,43.75,0.25,0.57%,"43,700",-
04-Jan-18,HAFR,Home Afrika Ltd,0.3,0.69,1.4,1.55,1.45,1.45,-,-,"1,167,500",-
04-Jan-18,KURV,Kurwitu Ventures Ltd,"1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00",-,-,-,-
04-Jan-18,OCH,Olympia Capital Holdings Ltd,1.9,2.9,3,3.15,3.1,3,0.1,3.33%,"12,500",-
04-Jan-18,TCL,Trans-Century Plc,1.42,4.03,6.1,6.15,6.1,6.1,-,-,"4,600",-
04-Jan-18,NSE,Nairobi Securities Exchange Plc,6.5,13,19.5,20.25,19.8,20,-0.2,1.00%,"21,700",-
04-Jan-18,BOC,BOC Kenya Plc,53,72,107,107,107,107,-,-,-,-
04-Jan-18,BAT,British American Tobacco Kenya Plc,305,545,761,761,761,760,1,0.13%,"4,800",-
04-Jan-18,CARB,Carbacid Investments Plc,7.1,9.4,12.5,12.6,12.5,12.5,-,-,"27,900",-
04-Jan-18,EABL,East African Breweries Ltd,135,222.25,239,240,239,239,-,-,"542,800",-
04-Jan-18,FTGH,Flame Tree Group Holdings Ltd,0.76,3,4.4,4.5,4.4,4.4,-,-,"33,300",-
04-Jan-18,ORCH,Kenya Orchards Ltd,12.25,12.6,97,97,97,97,-,-,-,-
04-Jan-18,MSC,Mumias Sugar Company Ltd,0.27,0.39,1.1,1.15,1.1,1.1,-,-,"332,700",-
04-Jan-18,UNGA,Unga Group Ltd,26.1,37,29,29,29,29,-,-,-,-
04-Jan-18,SCOM,Safaricom Plc,23.5,33.5,26.75,27.75,27,26.75,0.25,0.93%,"8,304,500",-
04-Jan-18,FAHR,Stanlib Fahari Income-REIT,5.5,10,10.85,10.9,10.85,10.5,0.35,3.33%,"11,300",-
04-Jan-18,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,265.00","1,265.00","1,265.00","1,265.00",-,-,-,-
04-Jan-18,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,209.08,211.42,209.47,209.35,0.12,0.06%,-,-
05-Jan-18,EGAD,Eaagads Ltd,8.2,14,25,25,25,25,-,-,-,-
05-Jan-18,KUKZ,Kakuzi Plc,300,423.5,330,330,330,329,1,0.30%,300,-
05-Jan-18,KAPC,Kapchorua Tea Kenya Plc,59,95,72,72,72,66,6,9.09%,300,-
05-Jan-18,LIMT,Limuru Tea Plc,385,475,500,500,500,500,-,-,-,-
05-Jan-18,SASN,Sasini Plc,14.8,19.6,26,26,26,26.75,-0.75,2.80%,200,-
05-Jan-18,WTK,Williamson Tea Kenya Plc,92,165,159,160,159,158,1,0.63%,"1,100",-
05-Jan-18,CGEN,Car and General (K) Ltd,20,26,21,21,21,21,-,-,-,-
05-Jan-18,ABSA,ABSA Bank Kenya Plc,9.3,14.2,9.5,9.65,9.55,9.55,-,-,"253,800",-
05-Jan-18,COOP,Co-operative Bank of Kenya Ltd,10.5,17,16.3,16.9,16.3,16.3,-,-,"388,400",-
05-Jan-18,DTK,Diamond Trust Bank Kenya Ltd,67.75,127,193,193,193,195,-2,1.03%,200,-
05-Jan-18,EQTY,Equity Group Holdings Plc,32.15,55.5,39.75,40.5,40.25,40,0.25,0.63%,"424,700",-
05-Jan-18,HFCK,HF Group Ltd,3.49,7.9,10,10.15,10,10.15,-0.15,1.48%,"93,400",9.09
05-Jan-18,IMH,I & M Holdings Plc,43.1,59.5,119,119,119,120,-1,0.83%,500,59.5
05-Jan-18,KCB,KCB Group Plc,33.75,55.5,42.5,43.25,42.75,42.5,0.25,0.59%,"1,323,700",-
05-Jan-18,NBK,National Bank of Kenya Ltd,3.4,4.4,9,9.95,9.25,9.9,-0.65,6.57%,"4,900",-
05-Jan-18,NCBA,NCBA Group Plc,24.9,40,36,37,36.65,36.25,0.4,1.10%,"46,800",33.32
05-Jan-18,SBIC,Stanbic Holdings Plc,76.5,118.5,81,82,81,80,1,1.25%,"5,600",-
05-Jan-18,SCBK,Standard Chartered Bank Kenya Ltd,162,220,206,208,206.25,209.75,-3.5,1.67%,900,-
05-Jan-18,DCON,Deacons (East Africa) Plc,0.45,0.45,3.45,3.5,3.45,3.2,0.25,7.81%,"10,700",-
05-Jan-18,EVRD,Eveready East Africa Ltd,0.75,1.28,2.3,2.4,2.35,2.4,-0.05,2.08%,"73,900",-
05-Jan-18,XPRS,Express Kenya Plc,4.95,7.34,3.75,3.75,3.75,3.75,-,-,-,-
05-Jan-18,KQ,Kenya Airways Plc,0.8,5.5,15.5,16.25,15.6,16.25,-0.65,4.00%,"106,100",-
05-Jan-18,LKL,Longhorn Publishers Plc,4.26,8.6,5.7,5.7,5.7,5.7,-,-,"10,400",-
05-Jan-18,NBV,Nairobi Business Ventures Ltd,0.49,0.99,3.1,3.1,3.1,3.2,-0.1,3.13%,700,-
05-Jan-18,NMG,Nation Media Group Plc,14.75,49.5,115,116,115,116,-1,0.86%,"2,400",-
05-Jan-18,SMER,Sameer Africa Plc,1.91,4.69,2.75,2.8,2.75,2.65,0.1,3.77%,"5,000",-
05-Jan-18,SGL,Standard Group Plc,18,31,33.5,33.5,33.5,33.5,-,-,-,-
05-Jan-18,TPSE,TPS Eastern Africa (Serena) Ltd,11.5,21.45,30.5,31.25,30.75,32,-1.25,3.91%,300,-
05-Jan-18,UCHM,Uchumi Supermarket Plc,0.23,0.55,4.1,4.5,4.25,4.45,-0.2,4.49%,"248,600",-
05-Jan-18,SCAN,WPP ScanGroup Plc,10.5,19.75,18.6,18.6,18.6,18.55,0.05,0.27%,100,-
05-Jan-18,ARM,ARM Cement Plc,5.55,5.55,13.5,13.9,13.7,13.25,0.45,3.40%,"31,400",-
05-Jan-18,BAMB,Bamburi Cement Ltd,27,120,178,178,178,178,-,-,-,-
05-Jan-18,CRWN,Crown Paints Kenya Plc,45,86.75,77.5,79,78.5,80,-1.5,1.88%,"10,700",-
05-Jan-18,CABL,East African Cables Ltd,1.44,3.98,5.45,5.75,5.65,5.7,-0.05,0.88%,"13,800",-
05-Jan-18,PORT,East African Portland Cement Ltd,12.6,18.5,29,29,29,29,-,-,-,-
05-Jan-18,KENO,KenolKobil Ltd,12.8,23,14.45,14.55,14.45,14.45,-,-,"635,700",-
05-Jan-18,KEGN,Kenya Electricity Generating Company Plc,4,6.5,8.1,8.4,8.15,8.2,-0.05,0.61%,"158,800",-
